name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week,custom_index
Ocean Protocol,$0.05683,-0.24,-1.14,-1.84,"$200,608,624","$10,016,687","25,263,013,692",https://coinmarketcap.com/currencies/ocean-protocol/?period=7d,-64951.59
Threshold,$1.47,0.92,0.27,7.34,"$200,203,123","$56,489,298","927,341,457",https://coinmarketcap.com/currencies/threshold/?period=7d,9996536.89
Astar,$110.32,0.18,-1.57,4.8,"$199,732,726","$17,158,111","12,072,738",https://coinmarketcap.com/currencies/astar/?period=7d,86903.29
Terra,$0.1216,0.87,13.12,9.85,"$199,959,530","$142,069,060","9,064,215,381",https://coinmarketcap.com/currencies/terra-luna-v2/?period=7d,1619737.97
Audius,$70.99,-0.69,3.99,5.78,"$197,174,207","$129,685,343","14,458,390",https://coinmarketcap.com/currencies/audius/?period=7d,160539.08
ssv.network,$1.01,0.05,0.55,1.22,"$197,044,337","$3,980,368","986,890,936",https://coinmarketcap.com/currencies/ssv-network/?period=7d,2380139.52
Fetch.ai,$0.7138,-0.62,2.82,-4.74,"$197,016,851","$62,468,844","1,389,669,308",https://coinmarketcap.com/currencies/fetch/?period=7d,-130829.35
Arweave,$49.32,0.02,-2.66,34.93,"$196,469,330","$134,644,819","19,266,077",https://coinmarketcap.com/currencies/arweave/?period=7d,1391458.58
Helium,$0.123,-0.36,-2.94,-7.62,"$195,537,441","$41,134,479","7,382,548,588",https://coinmarketcap.com/currencies/helium/?period=7d,-12113782.93
Golem,$35.18,-0.07,-0.34,3.4,"$189,668,379","$10,461,695","25,644,276",https://coinmarketcap.com/currencies/golem-network-tokens/?period=7d,183306.56
IoTeX,$0.3146,0.38,1.41,2.54,"$187,302,637","$63,224,617","2,799,292,903",https://coinmarketcap.com/currencies/iotex/?period=7d,151223.36
MAGIC,$0.8452,0.44,-1.77,2.82,"$184,233,986","$83,958,178","217,939,247",https://coinmarketcap.com/currencies/magic-token/?period=7d,61469.46
0x Protocol,$0.2146,0.07,-1.55,5.43,"$181,912,350","$65,006,210","847,496,055",https://coinmarketcap.com/currencies/0x/?period=7d,460290.8
Ontology,$0.2056,0.47,-2.07,8.29,"$180,003,592","$88,154,075","875,249,524",https://coinmarketcap.com/currencies/ontology/?period=7d,725792.69
Moonbeam,$0.2672,-0.12,1.33,-1.17,"$179,104,711","$142,197,040","670,308,545",https://coinmarketcap.com/currencies/moonbeam/?period=7d,-78425.34
